External14 00130.wav,哇还是你来吧。试试平时听过的那些QQ语音前，或者用肢体语言交流吧。
External14 00131.wav,
External14 00132.wav, Huh
External14 00133.wav,原本我们约好今晚一起讨论冒险计划，能麻烦你转告他改听见吗？
External14 00134.wav,仪器修缮费，预定的心像医药补款了，学术杂志的订购前也没交，还有下个月的房租，到底先教哪个比较好，果然还是先把新相宜的尾款补了，不然被抢购光了就糟糕了。
External14 00135.wav,帮忙哦。对了。你们是代理团长面前的红人吧。
External14 00136.wav,只靠你一个人。
External14 00137.wav,要寻找严神的话，一年里只有这一次机会。
External14 00138.wav,他的金币时间估计又要加长了吧。
External14 00139.wav,唉左安琪。不好意思。我看错了。
External14 00140.wav,问题。
External14 00141.wav,但是底下有这么多敌人，飞起来一定会被攻击的。
External14 00142.wav,谢谢你了朋友。我还以为这次麻烦大了。好在有你。
External14 00143.wav,嗯
External14 00144.wav,但至少证明暗夜英雄的传说不是空穴来风。
External14 00145.wav,这真是不可思议。
External14 00146.wav,有发现什么异常吗？
External14 00147.wav,这样的人加入骑士团太可惜了。
External14 00148.wav,啊梅子已经走了。
External14 00149.wav,是啊。我是来拜托请帮忙找猫的呀。
External14 00150.wav,谢谢谢你们。
External14 00151.wav,原来事情是这样，人类的行为总是愚蠢的如此随机，不过我无所谓。
External14 00152.wav,寒食饮冰，立于平神静气，清新泡水，敷一冰块一下。对身体最好。
External14 00153.wav,从你的身上我能看到与那些传说中的冒险家比肩的资质。
External14 00154.wav,你说。邀请函。
External14 00155.wav,唉呀上去就去哪了？唉呀
External14 00156.wav,哼
External14 00157.wav,应该就在这附近。
External14 00158.wav,
External14 00159.wav,深沉吧。
External14 00160.wav,很遗憾，最终再次踏上故乡土地的只有我一人，任风吹落眼角的泪花。
External14 00161.wav,啊说到天空之前，那时好像听迪鲁克提过这个名字啊。
External14 00162.wav,不然干脆我请你们好了。
External14 00163.wav,好，成交。
External14 00164.wav,但这遗迹的位置具体在哪里？目前还没有线索。
External14 00165.wav,把他当巫怕骨对吧？事不宜迟，我们现在就动身。
External14 00166.wav,是的。当然这也是为了各位的安全着想。
External14 00167.wav,唉肚子又饿了。
External14 00168.wav,你等一下，c型执照都考到手了，之后的考试是考什么啊？
External14 00169.wav,啊对了。凯亚事情是这样的。
External14 00170.wav, Yeah. 
External14 00171.wav,
External14 00172.wav,迪卢克老爷没听说吗？有两个小偷居然打起了天空之琴的主意。
External14 00173.wav,能结识如此有侠义心肠的友人，在下已经心满意足。
External14 00174.wav,嗯
External14 00175.wav,唉啊啊
External14 00176.wav,嗯兵之女皇，500年没见了，他究竟在想什么呢？又在计划着什么呢？
External14 00177.wav,那就开启元素视野，仔细留意周围吧。
External14 00178.wav,啊决定了以后就叫你卖唱的好了。
External14 00179.wav,龟中基他刚刚提到的东西，我有所耳闻。
External14 00180.wav,如果人群回来了，其实他的面子应该有点作用。
External14 00181.wav,那我们就先走了亲。齐小姐。
External14 00182.wav,它早就已经抛弃了你。
External14 00183.wav,我不能让材料束缚我的灵感，那样做出来的东西注定是无聊的。
External14 00184.wav,噢对了。你应该有一两天都没吃饭了吧，呃因为没。
External14 00185.wav,他真是个好人。嘿嘿小好吃的去了。
External14 00186.wav,为何还要继续接近仙与魔的世界？你们的语句太频繁了。
External14 00187.wav,化为尘埃吧。
External14 00188.wav,我们经常在一起喝茶，有时候他会轻轻哼出很好听的调子，告诉我灵感来了。虽然我对音乐给不出什么实用的建议，但能跟巴巴拉享受这样的时光，我真的非常高兴。
External14 00189.wav,哈哈最主要的筹办人其实是旅行者。
External14 00190.wav,没想到你也知道往里偷闲。
External14 00191.wav,总算是有点收获，对吧？
External14 00192.wav,
External14 00193.wav,且你也太着急了。不是说好在这里接见他的吗？
External14 00194.wav, Yeah. 
External14 00195.wav,天空岛上会是什么样子呢？
External14 00196.wav,那么风之翼的深入培训就交给我吧。
External14 00197.wav,你比预想中更讨人喜欢呢，若是不当心的话，连我都可能会动心了。呵呵。
External14 00198.wav,唉
External14 00199.wav,
External14 00200.wav,或者换句话说，这是根本不能想象一个没有钱的自己。
External14 00201.wav,噢对那里有着令人耳鸣的迹象，目所能及的海全都由灰烬构成。
External14 00202.wav,我要让蒙德人都记住，斯坦利抵达过晋冀海的中心，他是最伟大的冒险家，他还哭着。
External14 00203.wav,
External14 00204.wav,不过其实这批矿石在运送的时候遇到了点麻烦，有几车被丘丘人袭击了。
External14 00205.wav,只有最合适的环境才能诞生这么鲜美的肉质。如果被吓跑的话。
External14 00206.wav,
External14 00207.wav,在商战中完美的猎手不会留下任何痕迹。
External14 00208.wav,球球人一下子就炸了锅了，跟着那个逃跑的怪人就追了出来。
External14 00209.wav,我是北斗。听过我的南十字船队吗？如果你也喜欢冒险，那就跟着我吧，我照你。
External14 00210.wav,无证非法飞行。根据蒙德城治安管理法第7条第12款，请跟我走一趟。
External14 00211.wav,虽然七神之间的关系并不全，都非常融洽，但我也没想到他居然正在谋夺其他神灵的神之心。
External14 00212.wav,不知可否将功补过，再换几只自由。沈霄哲喜露提到了一处秘境，我想去寻访一番。
External14 00213.wav,紫色的。
External14 00214.wav,
External14 00215.wav,猫尾酒馆的披萨很久没吃过了，如果能外送到办公室就好了呢。
External14 00216.wav,我也当然会与你同在，容易歧视。
External14 00217.wav,况且如果是半仙之兽的话，凭借先人的机关术，应该不难察觉。
External14 00218.wav,拿回箱子，这件事听起来和我们没什么关系，为什么要拉我们一起走呢？
External14 00219.wav,愚人中拥有7国最强的武力，却用来盗窃天空之琴，系于神力界，龙哉对骑士团施压。
External14 00220.wav,你有看到狄卢克先生，噢就是今天的久宝先生，他刚才出过门吗？
External14 00221.wav,你们要走的话就走吧，不用管我。我也许会在这里再喝几杯，顺便熟悉一下筷子的用法。
External14 00222.wav,当然最好是在我不忙的时候。
External14 00223.wav,哇刚才的光亮是一号叶博士的位置。
External14 00224.wav,不嫌弃的话，这比我珍藏已久的黎明神剑就作为给两位的谢礼吧。
External14 00225.wav,却又不是在向北方交纳功夫。
External14 00226.wav,
External14 00227.wav,
External14 00228.wav,就算暂时获得了平静，也不能掉以轻心。身为代理团长，我必须未雨绸缪。
External14 00229.wav,唉
External14 00230.wav,还是让我自己去吧。
External14 00231.wav, Just. 
External14 00232.wav,哈哈连骑士般的谦虚品德也已经具备了。
External14 00233.wav,我是云种植新冠第11集，公子达达利亚，而你也是能招致纷争之人，实在愉快，我们应该会很合得来吧。
External14 00234.wav,也不该有人告诉他，说守护这座城市是你永恒的义务。
External14 00235.wav,果然不该出门的。
External14 00236.wav,啊我们我们也只是听说这虎牢山是仙人釜底。
External14 00237.wav,以后我可要长个心眼，不能随随便便被你唬住了。
External14 00238.wav,叫唤的这么厉害，买还是不买啊？
External14 00239.wav,可是旅行者真的可以吗？料理的口味什么的。
External14 00240.wav,啊天已经亮了，那那再做最后一次实验吧，做完就休息嗯。最后一次。
External14 00241.wav,啊说不定连我都开始对炼金术感兴趣了。
External14 00242.wav,这雨天里冰冻的力量会更强吧，有趣。
External14 00243.wav,这这是非常专业的法律领域呢。
External14 00244.wav,你一定是先使吧是仙人派你来解决我兄弟的。
External14 00245.wav,契约之外的事也可与我相谈，毕竟我在这片土地上活了这么久，凡事都略同一二二。虽说如此，我也有希望你能为我做的事情，脾气，这样才符合公平吗？
External14 00246.wav,怎么？不去试试吗？难道合唱台坏了？
External14 00247.wav,哼我看你已经快被我的厨艺征服了吧，是时候给你品尝我苦心研制的新菜品了，七彩琉璃大煎饼，妈妈这薄薄一层蛋皮里面包着红色的松树火腿、橙色的胡萝卜、黄色的太阳蛙肉、绿色的嘟嘟脸，蓝色的蝴蝶翅膀，真的不想吃吗？
External14 00248.wav,
External14 00249.wav,想要面见本心，就闯过本仙亲手布置的洞府吧。
External14 00250.wav,这样呀好遗憾哦。
External14 00251.wav,哈哈哈说不定呢。
External14 00252.wav,没错。他们既有责任也有资格。
External14 00253.wav,迪卢克老爷太残酷了。
External14 00254.wav,喜欢卢比卡，喜欢树林，喜欢朋友，喜欢奔跑。
External14 00255.wav,你没事吧？
External14 00256.wav,啊呃是容易歧视啊。不好意思。我刚才有些谎言。
External14 00257.wav,还挺有两下子。
External14 00258.wav,当年的国度丛林城市。
External14 00259.wav,你
External14 00260.wav,工作工作还没有做完。真的可以提前休息吗？
External14 00261.wav,那么荣誉骑士你今天状态如何？
External14 00262.wav,璃月的菜肴跟蒙德的差异很大呢，比如辣味的炒菜，在蒙德就几乎见不到，这就是人们常说的，一方水土养一方人吧，呃但是为什么全体瓦特的10来亩都是一个味道的？那是因为你只会同一种烹饪方式吧。
External14 00263.wav,嗯原来你是这样认为的吗？
External14 00264.wav,就好像之前丽莎姐姐寻找暴风源流，来锁定三座庙宇一样吧。
External14 00265.wav,6308是冯丹元。
External14 00266.wav,有人用风驶来母做过这种事吗？
External14 00267.wav,怎么可以这样花心呢？
External14 00268.wav,看就是这么巨大。
External14 00269.wav,想办法从他身后接近吧，最好蹲下来，好，让脚步轻一些。
External14 00270.wav,这个太难了。而且就算我想留在蒙德城，一。
External14 00271.wav,
External14 00272.wav,不懂就去问，这很简单。
External14 00273.wav,呵别别过了。不是，我的意思是不要靠得太近。我在做实验，这个可能会爆炸的。
External14 00274.wav,
External14 00275.wav,他根本不爱他。清泉的热情奔放只是虚浮表象，冰冷寂寞之时，他的心才显露真实。
External14 00276.wav,现在就请在蒙德赞助一下，由我们西风骑士团来努力解决问题吧。
External14 00277.wav,哈哈那就拜托你们了。事情是这样的。
External14 00278.wav,唉虽然是如假包换的风神至宝，但现在恐怕还不行。
External14 00279.wav,虫啉啊它总是跟着邢秋一起来外明堂吃饭，噢或者应该说是被寻求拖累的，但是重云不吃热食，每次热菜上桌，行秋就会客客气气的说一声，湿静，然后动起筷子，逐一评点起每道菜的美味之处。他那夸的呀我都想冲过去尝一口，你是没见到成语那种眼神？呵呵还挺有趣的呢他俩。
External14 00280.wav,
External14 00281.wav,现在宝宝在我手上，你们再着急也没用了。
External14 00282.wav,啊最近打杂啊不跑腿，嗯支援的人手有些不足。
External14 00283.wav,原来 D均是想让我用超乎常人的力量去带领大家，哼就算没有这份认可，我也可以把工作做得很好，等着看吧，我不会让他失望的。
External14 00284.wav,噢
External14 00285.wav,啊这是
External14 00286.wav,嗯很熟，啊虽然没关系，但是很失望。
External14 00287.wav,没有传说中那么夸张了，不过就是走路经常会掉进猎人打猎用的坑里，或者被突然倒下的树干砸到脑袋，都很平常嘛对吧？
External14 00288.wav,为什么？嘿天空之琴。
External14 00289.wav,大师傅教我的枪法很厉害吧，你想学的话我也可以交给你哦。不过说到这个要是你愿意跟我学厨就好了，我的这些技巧和配方要流传得远远的才好呢。
External14 00290.wav,要不要陪我去和老爹们聊聊天啊？老冒险家的故事可有意思了。
External14 00291.wav,你真的想知道吗？可能会卷入与骑士团有关的麻烦哦。
External14 00292.wav,一时间犯了糊涂，只想从山中琥珀里寻得几件宝物，卖了钱，再回去接济家里。
External14 00293.wav,这嗯路上。
External14 00294.wav,唉
External14 00295.wav,告诉你一个小秘密，我对谁都没有讲过。生物炼金的最终目标是创造出先进，对就是童话里的那个能找到永远的快乐与幸福的先进。唉有点幼稚对吧？但我现在都还相信那个故事。
External14 00296.wav,不过那些受灾民众不知道会在什么时候原谅，又会原谅他到什么程度呢。
External14 00297.wav,可是如果连这点程度都无法独自应付的话，又怎么能像威尼莎大人那样守护整个蒙德呢？
External14 00298.wav,没办法。那我们走吧。
External14 00299.wav,对不起，啊我昨天把他和骑士团飞行指南放在一起，肯定是出门的时候拿错了。
External14 00300.wav,唉唉
External14 00301.wav,老实点。
External14 00302.wav,或许他们各有目的吧。不过在这商业之都，偶尔被人利用，也不是什么不可接受的事。
External14 00303.wav,是旅行者的话，会对你们有帮助吧。
External14 00304.wav,茂才公有权有势。什么时候被这样针对过？
External14 00305.wav,谢谢你们的消息。
External14 00306.wav,呵呵不敢当，我哪有那种本事。
External14 00307.wav,真是一笔不错的投资。虽然没有收益多少馍，啦但与你度过的这些时光也是很不错的回报。看来我又赢了。我赌对了人。
External14 00308.wav,不过在那之前我和旅行者还是会帮你的，对吧？
External14 00309.wav,啊那是天空之琴，看来你们搞定了呢。
External14 00310.wav,这么一说确实不够皮卡呢。
External14 00311.wav,唉呀其实我以前是奇货商人，为什么选期货呢？简单来说世间的道理就是物以稀为贵。
External14 00312.wav,昨晚我翻阅爷爷留下来的手机，偶然发现了爷爷留下的宝藏信息。
External14 00313.wav, V. 
External14 00314.wav,嗯
External14 00315.wav,听说对联是璃月的传统文化，有人写完上联以后会为下联悬赏千金，但因为对联很难，钱也不是那么好赚的，不仅要求字数相等，还要考虑词性相对嗯。举一个例子呢，嗯风起地风不起，嗯云来，海。云再来啊。别坐着了，快点起来快点起来。我们该赚钱去了。
External15 00001.wav,
External15 00002.wav,
External15 00003.wav,你这不是听得到我们说话吗？
External15 00004.wav,嗯一点点。
External15 00005.wav,
External15 00006.wav,灵活运用元素带来的优势，是轻松取胜的诀窍。
External15 00007.wav,我很理解血清分离的痛苦心情，旅行者。
External15 00008.wav,玛格丽特小姐不是来找猫的吗？
External15 00009.wav,嗯
External15 00010.wav,来吧。
External15 00011.wav,不知在遥远彼方的扈从务虚担心冒险家协会的大家。
External15 00012.wav,那该怎么办呢？
External15 00013.wav,反正他们也从没宣布过谁是受欢迎的人。
External15 00014.wav,区区小胜。
External15 00015.wav,到那时就需要完成一些令人印象深刻的任务，来得到协会的进一步认可。
External15 00016.wav,什么类型都可能有。从帮助居民到清理怪物，有琐碎的也有很危险的。
External15 00017.wav,唉捷径被净化了。什么时候的事情。
External15 00018.wav,
External15 00019.wav,而且。
External15 00020.wav,代理团长已经公开讲述了风魔龙事件的经过，真是这份人心。
External15 00021.wav,锅里的东西好像是肉，但具体是什么肉就不知道了。
External15 00022.wav,所以你今天是特意来把飞行执照送来的吗？
External15 00023.wav,那么你会赴我演出的赏额吗？
External15 00024.wav,明明海灯节纪念的英雄里也包括你，为什么你却不想去看灯呢？
External15 00025.wav,能拜托你去找一找吗？我记得一共有5车全都能找到的话，我当场就能和你签契约。
External15 00026.wav,我该走了。
External15 00027.wav,啊别吵架，不要吵架啊。
External15 00028.wav,熟悉的气味。
External15 00029.wav,中立先生说光泽越亮越蓝的矿石品质越好。要注意观察哦。
External15 00030.wav,准备教训。
External15 00031.wav,
External15 00032.wav,呵交给我吧。
External15 00033.wav,战战斗。
External15 00034.wav,唉真可爱。
External15 00035.wav,嚯很有气魄的发言。
External15 00036.wav,好，啦所以你们把天空之琴带来了吗？
External15 00037.wav,呃他还在后面跟着呢。
External15 00038.wav,
External15 00039.wav,因为我在成神之前也是这样被一个朋友教导了何为自由的。
External15 00040.wav,风味。
External15 00041.wav,
External15 00042.wav, Yeah. 
External15 00043.wav,嗯啊好。什么时候能像姐姐一样高呢？
External15 00044.wav,啊你
External15 00045.wav,鱼儿怎么还不上钩？来。
External15 00046.wav,
External15 00047.wav, No. 
External15 00048.wav, Yeah. 
External15 00049.wav,钱怎么样了？没有大碍吧。
External15 00050.wav, Yeah. 
External15 00051.wav,斯坦利的奇妙冒险，叫我们蒙德超级有名。
External15 00052.wav,唉酒量还需提高啊。
External15 00053.wav,偶尔悠闲一下。也不错。
External15 00054.wav,嗯代理团长情，以吟游诗人的眼光来看，似乎也不是一个没有故事的女骑士呢。
External15 00055.wav,算了，把天空之琴给我一下。
External15 00056.wav,那是炸药桶吗？
External15 00057.wav,就是要美味的最美味的那种。
External15 00058.wav,想让生意人让出利润，就如同羊饿狼吐出刚下肚的肉一样，这也是没有办法的事。但其实在特殊条件下，这些薄片也够用了。
External15 00059.wav,就是这个就是这个我还以为永远都见不到他了。
External15 00060.wav,
External15 00061.wav,他们是蒙德四方之风的守护者，也是风神巴巴托斯的眷属。
External15 00062.wav,大块吃肉，开心。
External15 00063.wav,总之我先说明一下吧，现在比较紧急的是这种探索派遣。
External15 00064.wav,
External15 00065.wav,多亏了能和你一起冒险，我才获得了这么多的成长。明明女仆的职责是为你排忧解难，结果反倒是让你为我花了这么多心思。
External15 00066.wav,只知道是远方吗？
External15 00067.wav,这不是可以拼上性命的事吧。
External15 00068.wav,哼我们才不是为了那么无聊的事来的。
External15 00069.wav,这个地方风景真漂亮啊。
External15 00070.wav,哼我就在想，你求求人的事呢，怎么会想到有预谋的福气？
External15 00071.wav,如果你能把铁块带回来，我就帮你锻造。
External15 00072.wav,蒙德的新进英雄站在我的面前，身为骑士，感觉真是士气大振哪。
External15 00073.wav,狄罗克姥爷听我说。
External15 00074.wav,原来是这样，怪鸟一会知道自己没法处理元素的痕迹，才让手下托住我们。
External15 00075.wav,事不宜迟就去猎鹿人买一份育人土司吧。
External15 00076.wav,那边会是西哥哥的船吗？
External15 00077.wav,你还不赖，无论是对翼还是战斗，都不乏让人眼前一亮的表现。不这样的合作对我来说也算新奇。那么今后也同行吧，我有。
External15 00078.wav,
External15 00079.wav,嗯你怎么看？
External15 00080.wav,
External15 00081.wav,不管怎么说，先去喝烤鸭再碰个头吧。
External15 00082.wav,委托人都让我帮忙感谢你呢。
External15 00083.wav,教你飞，与你一起飞行的时候，我自己好像也能飞得更快。哼你在笑什么啊？来比赛吧。现在就毙。
External15 00084.wav,自己挑。我瓦格纳的首页不会有残次品。
External15 00085.wav,嘿唉原来可以活这么长时间吗？
External15 00086.wav,啊那位真心术是吗？这么说吧，占卜和我的诗歌一样，都是让人穷到9000都凑不齐的，没用技术呢啊。你说真心至少是一项文化传统，所以不是没用的嗯。真是你呀那诗歌也一样有用啊。
External15 00087.wav,耶。应该只是没发挥好，不算不算。
External15 00088.wav,
External15 00089.wav,但要打破这种风筝，啊也用不上天空，啊那是什么？
External15 00090.wav,啊肚子饿了，又不敢再去晨曦酒中蹭饭，啊是你呀唉要出门吗？带我一个。呗
External15 00091.wav,我发现了一位极具破坏力的强者。
External15 00092.wav,那时我们看到的东西除了龙和捷径，明明还有一样。
External15 00093.wav,稍等一下，我现在就去准备。
External15 00094.wav,天使的馈赠酒馆优惠酬宾，进来坐坐吧。
External15 00095.wav,想不到书呆子的面子这么大。
External15 00096.wav,哈哈哈
External15 00097.wav,但这些话代理团长是绝对不能说出口的。
External15 00098.wav,我发现了一个很严重的问题。
External15 00099.wav,唉你这么解释我一下子就明白了。
External15 00100.wav,嗯我们好像见过哦。是驴者吧唉呀不好意思了，刚才语气不太好。
External15 00101.wav,既然来了璃月还是去问问当地人吧。
External15 00102.wav,感觉。
External15 00103.wav,别紧张，只要发挥出你平时的飞行水准就好了。
External15 00104.wav,
External15 00105.wav, Huh
External15 00106.wav,啊有记录下了有趣的情报。
External15 00107.wav,啊对了。就是这个好喝的奶叫 yeah。And I。
External15 00108.wav,嘿嘿我是杰克是个冒险家，刚刚从里面出来。
External15 00109.wav,啊我的钱袋好像忘记带出来。旅行者你有带钱吗？
External15 00110.wav,大家应该都在努力着，那我们也不能偷懒，对吧？
External15 00111.wav,真是全好奇的家伙，还是把它们收拾掉再继续吧。
External15 00112.wav,加油，你一定可以做到的。
External15 00113.wav, Cool. 
External15 00114.wav,你好像一直都很照顾我吗？谢了
External15 00115.wav,好。一鼓作气前往下一个目标。
External15 00116.wav,上次我们聊到暗夜英雄的事，请问还有其他情报可以提供吗？
External15 00117.wav,做好觉悟了吗？我们摘新芽见吧。
External15 00118.wav,
External15 00119.wav,在被人们称作魔龙以前，他曾是四风守护中的东风之楼。
External15 00120.wav,下雨也无法阻挡我的脚步。
External15 00121.wav,不如就让这位来跳吧如何更有纪念意义吧。
External15 00122.wav,红星。
External15 00123.wav,你听说过命制作吗？占星术士认为命之作是神之眼，持有者的命运在星空上的映射，过去现在和未来，所有的一切都在其中招式。
External15 00124.wav,
External15 00125.wav,哇真的能打开呀。牛二也会有点用吧卖唱的。
External15 00126.wav,用来隐藏身份的伪装，在见到舆论中之前就带上了。
External15 00127.wav,风之一。
External15 00128.wav,唉真是无情啊。就这样无视了我这个挚友吗？
External15 00129.wav,再往前走，要被骑士发现了，呀还是先按计划行动吧。
External15 00130.wav,哇
External15 00131.wav,来自深渊教团的战书吗？
External15 00132.wav,他不会得逞的，我们赶紧追上去。
External15 00133.wav,那你好好期待蒙德的与球节吧应该也不会让你失望的。
External15 00134.wav,太少了，这家可不公道。
External15 00135.wav,等我再吃完这一饭，一定要你把全部手艺都交给我，可别想着逃走。
External15 00136.wav,呃不暂时还不走，以我现在的能力恐怕走不了太远的路。
External15 00137.wav,嘿嘿嘿虽然时间晚了这么久，还是团圆了，皆大欢喜皆大欢喜
External15 00138.wav,噢我想到了用白萝卜吧，白萝卜削成泥或者切成丝都很爽口。
External15 00139.wav,嗯附近就没有什么值得一战的强敌吗？
External15 00140.wav,啊我们我们是有理由的。
External15 00141.wav,璃月唯一的铸币厂，也是全体瓦特唯一的驻毙者。人类7国所流通的摩拉全都是在那里铸造的。
External15 00142.wav,
External15 00143.wav,没错。这就要说起半个月前的某一天，我去望峰山地寻找新做的灵感，结果。
External15 00144.wav,嘿我说的我说快点快点快点下来，我全都交代。
External15 00145.wav,哇有好吃的，居然对我们这么客气。
External15 00146.wav,这家三碗不过岗，可不像蒙德的那些酒馆，在这里94主人是会拒绝果汁这种不上道的东西的。
External15 00147.wav,嗯
External15 00148.wav,那个人究竟在做什么？我们在周围调查一下，找找线索吧。
External15 00149.wav,松茸和瘦肉能做出什么菜来呢？
External15 00150.wav,应该是蒲公英骑士派和暗夜英雄派吧。
External15 00151.wav,说起来阎王爷虽然喜欢微服私访，但正式降临却只有一年一次，其他蛇好像都不是这样的。阎王爷是有什么深意吗？我大概能猜到一点原因。你看现在每年降下的那些神玉，已经牵动了太多璃月人的心，他们为着神与打转，试图从字缝里分析出无限的潜台词，如果那样的神韵每天都有，李悦又会变成什么样呢啊？我明白了。如果是我的话，一定会收集阎王爷在民间夸赞过的小吃，天天供奉给他，如果能直接从莫拉克斯那里得到莫拉的话，谁还会去做正经生意啊？虽然例子的逻辑有点跳跃，但道理大致就是这样。
External15 00152.wav,约定完成了啊。是指他之前说的要帮我们找人吗？
External15 00153.wav,喂怎么办？霍夫曼好像已经在怀疑了。
External15 00154.wav, Hi. 
External15 00155.wav,唉呦
External15 00156.wav,花哇拉小姐不要听他说胡话。
External15 00157.wav,若凡事都要先考虑没，啦也就等同于凡事都被摩拉束缚了手脚。
External15 00158.wav,这里是啊。
External15 00159.wav,荒野上的孤魂，休想伤我分好。
External15 00160.wav,您看这怎么样？我们姐这行，啊可是玉石老字号，瞧瞧这品相，绝对上佳，简直是阎王爷也难得降下的恩赐，您就放心随便选吧。
External15 00161.wav,你将胡萝卜煎肉一份，你带来了吗？
External15 00162.wav,
External15 00163.wav,想不到明明这么年轻，胃口却不小呢，哈哈该不会之前的传言是真的吧？是在物色可以送箱高的目标吗？
External15 00164.wav,
External15 00165.wav,你们是为了天空之琴来的吧。
External15 00166.wav,是你最喜欢的杏仁豆腐和这位异国旅行者的拿手好菜，充满异国风情的沙拉哦。
External15 00167.wav,但只有我们大吃大喝了一顿，会不会不太好？
External15 00168.wav,哇
External15 00169.wav,我还希望看它排上前5呢。
External15 00170.wav,英雄没听说过，没关系。摩拉总听说过吧？我全额付。
External15 00171.wav, Yeah. 
External15 00172.wav,唉也都是不够的吧。
External15 00173.wav,西方的容易歧视。
External15 00174.wav,对了。之前有听李悦的人说过，夜叉也是守护璃月的先人。
External15 00175.wav,嗯
External15 00176.wav,啊明明已经用各种方法劝过你了，真有你的小可爱，到这份上还装作无动于衷的话，恐怕连丘丘人都看得出来，我在撒谎了。那就让你见识一下蔷薇魔女的真实吧。
External15 00177.wav,嗯到底在哪里呢？
External15 00178.wav,完全没有想过，可能是某人太过自由散漫，不想管事的原因呢。
External15 00179.wav,你嗯
External15 00180.wav,嗯话说回来。
External15 00181.wav,嗯看来只能这样了吧。
External15 00182.wav,嗯
External15 00183.wav,来猎杀我的猫。
External15 00184.wav,嗯
External15 00185.wav,迪卢克老爷们上次在天使的馈赠演出，他一直皱着眉头，是不是我唱的歌他不喜欢呢。
External15 00186.wav,玉衡星。他最近的变化可真不小，李悦究竟更需要曾经的他，还是更需要现在的他呢可能要多花一些时间才能判断吧。
External15 00187.wav,准备在明晚10点左右从正门突袭蒙德臣。
External15 00188.wav,
External15 00189.wav,啃啃木桩瑶米的。
External15 00190.wav,哇好爽。全身上下都充满了力量。
External15 00191.wav,是的。如果我和这些俗人生活在一起，崭新舒适的心境要怎么维持？
External15 00192.wav,如果有心可以向我来寻求事业。
External15 00193.wav,城里放炮禁闭室报道，炸弹烧人请找上门，放火烧山可利完蛋，这就是可利在骑士团的生存守则。
External15 00194.wav,啊感谢前锋、旅行者，你的出现一定是神对我的恩赐。
External15 00195.wav,啊
External15 00196.wav,既然这样不如订单里的这份蜜酱胡萝卜煎肉也交给你吧。
External15 00197.wav, Yeah。你好像很擅长讨人欢心呢。有点出乎我的意料了。
External15 00198.wav,
External15 00199.wav,追随我的兄弟有很多，我问过，我也记得他们每一个人上船的理由，你是很特别的我知道你还有需要完成的事情，我不会授予你职务和头衔，但无论你的旅途去往何方，死兆星号上永远都有你的位置。
External15 00200.wav,是老鼠。
External15 00201.wav,是使来母华野蘑菇。
External15 00202.wav,金币期间我会留在这里做雨桥节特制版的宝物。
External15 00203.wav,凉凉的，很舒服。
External15 00204.wav,烧烧一下，烧不得呀几位老爷，你们烧完我我还卖什么呀？
External15 00205.wav,话说回来，他看上去是不是有些奇怪，额头上还贴着浮躁。
External15 00206.wav,那是什么？噢不见了。我可以去看看吗？
External15 00207.wav,
External15 00208.wav,那么就按照我们说好的路线出发。
External15 00209.wav,你还真是胆量不小，有勇气询问我的爱好，那边来站吧，以你的身躯扛得住我几招呢。
External15 00210.wav,是风衣吗？那要怎么解开呢？该不会又要花很多功夫吧。
External15 00211.wav,噢对了，可不能再套上先斧，我们这就下山啊。谢谢先生。
External15 00212.wav,唉就是这种感觉。
External15 00213.wav,唉呀真是太感谢你们了。这一下子我的矿石生意还有希望。
External15 00214.wav,没用的东西，流着干什么？
External15 00215.wav,这么快就有线索了嘛。哼不会是消息灵通的迪鲁克老爷。
External15 00216.wav,嗯你身边带着的这个小家伙到底来自哪里？无论我用什么方法，都没法找到一丝关于他命运的踪迹。Huh你也不知道。
External15 00217.wav,今天的年光大人也很迷人呢。
External15 00218.wav,锻炼的机会应该多留给新人。不是吗？
External15 00219.wav,风格。
External15 00220.wav,有危险的。
External15 00221.wav,嗯要用到肉类和面粉的菜。
External15 00222.wav,我来给您掰扯掰扯这个道理。您听着。
External15 00223.wav,
External15 00224.wav,啊别和我站得太近，唉这样雷就不会批到你了。
External15 00225.wav,我的过去想要更多的了解我一些吗？可今天我恰恰有点儿累了，不过这份心意姐姐我还是很高兴的。
External15 00226.wav,这样应该就可以了吧。潘某也会帮忙记着三块样品的编号和位置的。
External15 00227.wav,我现在比起最初跟你认识的时候又进步了不少吧。嘿嘿非常感谢让我请你吃蜜饯、胡萝卜煎肉吧，跟我来跟我来。
External15 00228.wav,现在没你说话的份，无理的吟游诗人。
External15 00229.wav,
External15 00230.wav,冠军。
External15 00231.wav,是深渊教团。
External15 00232.wav,居然。
External15 00233.wav,
External15 00234.wav,嗯可是怎么感觉便宜了，他呀那家伙说好情报费由他来出的。
External15 00235.wav,啊
External15 00236.wav,但是他为什么要逃走呢？
External15 00237.wav,
External15 00238.wav,没想到严神娟与冰神签订了契约，契约的内容究竟会是什么呢？潘萌觉得不管是谁要和兵之女皇做交易，都很不安全，确实是这样。但既然莫拉克斯是所有神灵里最理解契约本质的那一位，他应该不会没有考虑过这件事，嗯莫拉克斯本人好像很有自信，叫他终结一切契约的契约，我们最终会坚持真相和结局的。
External15 00239.wav,
